AK400,1824.00,1824.00,1824.00,1824.00,1944.00,1959.00,2127.00,2331.00,2517.00,1962.00,2211.00,2463.00,2538.00,2631.00,2169.00,2424.00,2550.00,1953.00,1956.00,2451.00,2661.00,2802.00,2826.00,2853.00,2853.00,2853.00,2853.00
AK401,1809.00,1809.00,1809.00,1809.00,2265.00,2280.00,2343.00,2442.00,2550.00,2283.00,2385.00,2502.00,2571.00,2655.00,2364.00,2484.00,2580.00,2274.00,2277.00,2496.00,2685.00,2814.00,2838.00,2865.00,2865.00,2865.00,2865.00
AK402,1926.00,1926.00,1926.00,1926.00,2454.00,2469.00,2523.00,2604.00,2700.00,2472.00,2556.00,2655.00,2721.00,2799.00,2538.00,2640.00,2730.00,2463.00,2466.00,2652.00,2826.00,2946.00,2973.00,3000.00,3000.00,3000.00,3000.00
AK403,1674.00,1674.00,1674.00,1674.00,1950.00,1965.00,2121.00,2319.00,2520.00,1968.00,2205.00,2445.00,2550.00,2682.00,2163.00,2409.00,2568.00,1959.00,1962.00,2433.00,2727.00,2928.00,2955.00,2982.00,2982.00,2982.00,2982.00
AK404,1611.00,1611.00,1611.00,1611.00,2067.00,2082.00,2190.00,2337.00,2499.00,2085.00,2253.00,2427.00,2529.00,2655.00,2220.00,2400.00,2547.00,2076.00,2079.00,2418.00,2700.00,2895.00,2919.00,2949.00,2949.00,2949.00,2949.00
AK405,1566.00,1566.00,1566.00,1566.00,1977.00,1992.00,2121.00,2286.00,2427.00,1995.00,2190.00,2391.00,2442.00,2508.00,2157.00,2361.00,2451.00,1986.00,1989.00,2382.00,2529.00,2625.00,2646.00,2670.00,2670.00,2670.00,2670.00
AL001,834.00,834.00,834.00,834.00,858.00,1179.00,1197.00,1206.00,1230.00,1194.00,1203.00,1215.00,1242.00,1290.00,1200.00,1209.00,1245.00,900.00,1176.00,1212.00,1302.00,1371.00,1380.00,1392.00,1392.00,1392.00,1392.00
AL002,1065.00,1065.00,1065.00,1065.00,1113.00,1197.00,1353.00,1533.00,1686.00,1209.00,1428.00,1647.00,1701.00,1773.00,1392.00,1614.00,1710.00,1128.00,1194.00,1638.00,1794.00,1902.00,1914.00,1932.00,1932.00,1932.00,1932.00
AL003,1209.00,1209.00,1209.00,1209.00,1236.00,1491.00,1506.00,1521.00,1581.00,1503.00,1512.00,1533.00,1602.00,1692.00,1509.00,1527.00,1614.00,1272.00,1488.00,1530.00,1719.00,1854.00,1869.00,1887.00,1887.00,1887.00,1887.00
AL004,1272.00,1272.00,1272.00,1272.00,1374.00,1512.00,1557.00,1611.00,1713.00,1524.00,1581.00,1647.00,1737.00,1851.00,1569.00,1635.00,1752.00,1395.00,1509.00,1644.00,1887.00,2061.00,2076.00,2097.00,2097.00,2097.00,2097.00
AL005,1185.00,1185.00,1185.00,1185.00,1248.00,1269.00,1320.00,1386.00,1485.00,1281.00,1347.00,1428.00,1512.00,1614.00,1335.00,1416.00,1524.00,1257.00,1266.00,1422.00,1647.00,1806.00,1821.00,1836.00,1836.00,1836.00,1836.00
AL006,1122.00,1122.00,1122.00,1122.00,1182.00,1317.00,1464.00,1629.00,1785.00,1329.00,1533.00,1734.00,1806.00,1899.00,1497.00,1704.00,1818.00,1203.00,1314.00,1725.00,1929.00,2067.00,2082.00,2103.00,2103.00,2103.00,2103.00
AL007,1386.00,1386.00,1386.00,1386.00,1530.00,1545.00,1560.00,1569.00,1620.00,1557.00,1566.00,1578.00,1647.00,1761.00,1563.00,1572.00,1662.00,1539.00,1542.00,1575.00,1800.00,1980.00,1995.00,2013.00,2013.00,2013.00,2013.00
AR010,1248.00,1248.00,1248.00,1248.00,1326.00,1341.00,1377.00,1443.00,1548.00,1344.00,1407.00,1485.00,1575.00,1686.00,1392.00,1473.00,1590.00,1335.00,1338.00,1482.00,1725.00,1899.00,1914.00,1932.00,1932.00,1932.00,1932.00
AR012,780.00,780.00,780.00,780.00,840.00,1092.00,1140.00,1194.00,1266.00,1107.00,1164.00,1227.00,1284.00,1353.00,1152.00,1218.00,1293.00,873.00,1089.00,1224.00,1377.00,1482.00,1494.00,1506.00,1506.00,1506.00,1506.00
AR411,969.00,969.00,969.00,969.00,1047.00,1332.00,1392.00,1461.00,1569.00,1347.00,1422.00,1506.00,1596.00,1710.00,1407.00,1491.00,1611.00,1083.00,1329.00,1500.00,1749.00,1923.00,1938.00,1953.00,1953.00,1953.00,1953.00
AZ013,1620.00,1620.00,1620.00,1620.00,1698.00,1914.00,1932.00,1959.00,2001.00,1926.00,1944.00,1977.00,2013.00,2061.00,1938.00,1968.00,2016.00,1728.00,1911.00,1974.00,2076.00,2148.00,2166.00,2184.00,2184.00,2184.00,2184.00
AZ014,930.00,930.00,930.00,930.00,1011.00,1032.00,1152.00,1293.00,1422.00,1044.00,1209.00,1380.00,1440.00,1512.00,1182.00,1356.00,1449.00,1020.00,1029.00,1374.00,1536.00,1647.00,1659.00,1674.00,1674.00,1674.00,1674.00
AZ015,1284.00,1284.00,1284.00,1284.00,1425.00,1779.00,1800.00,1809.00,1821.00,1797.00,1806.00,1818.00,1824.00,1851.00,1803.00,1812.00,1827.00,1470.00,1776.00,1815.00,1857.00,1902.00,1917.00,1935.00,1935.00,1935.00,1935.00
AZ016,975.00,975.00,975.00,975.00,1008.00,1269.00,1350.00,1443.00,1533.00,1281.00,1389.00,1503.00,1545.00,1602.00,1371.00,1485.00,1551.00,1044.00,1266.00,1497.00,1617.00,1701.00,1713.00,1728.00,1728.00,1728.00,1728.00
CA018,3186.00,3186.00,3186.00,3186.00,3243.00,3690.00,3711.00,3720.00,3816.00,3708.00,3717.00,3729.00,3855.00,4029.00,3714.00,3723.00,3879.00,3300.00,3687.00,3726.00,4092.00,4365.00,4404.00,4446.00,4446.00,4446.00,4446.00
CA019,4359.00,4359.00,4359.00,4359.00,4614.00,4815.00,4830.00,4839.00,4980.00,4827.00,4836.00,4848.00,5040.00,5298.00,4833.00,4842.00,5079.00,4641.00,4812.00,4845.00,5394.00,5805.00,5859.00,5916.00,5916.00,5916.00,5916.00
CA021,948.00,948.00,948.00,948.00,984.00,1107.00,1251.00,1416.00,1584.00,1119.00,1320.00,1521.00,1611.00,1722.00,1284.00,1491.00,1626.00,1005.00,1104.00,1512.00,1761.00,1935.00,1950.00,1965.00,1965.00,1965.00,1965.00
CA022,1476.00,1476.00,1476.00,1476.00,1539.00,1653.00,1719.00,1797.00,1917.00,1665.00,1752.00,1845.00,1947.00,2070.00,1734.00,1830.00,1965.00,1557.00,1650.00,1842.00,2115.00,2307.00,2325.00,2346.00,2346.00,2346.00,2346.00
CA023,1380.00,1380.00,1380.00,1380.00,1506.00,1521.00,1569.00,1635.00,1743.00,1530.00,1596.00,1674.00,1773.00,1890.00,1584.00,1662.00,1788.00,1515.00,1518.00,1671.00,1929.00,2115.00,2130.00,2151.00,2151.00,2151.00,2151.00
CA024,2388.00,2388.00,2388.00,2388.00,2589.00,3183.00,3204.00,3213.00,3255.00,3201.00,3210.00,3222.00,3279.00,3378.00,3207.00,3216.00,3291.00,2661.00,3177.00,3219.00,3411.00,3561.00,3594.00,3627.00,3627.00,3627.00,3627.00
CA025,2583.00,2583.00,2583.00,2583.00,2586.00,3024.00,3114.00,3213.00,3345.00,3042.00,3156.00,3276.00,3372.00,3489.00,3135.00,3258.00,3387.00,2637.00,3021.00,3273.00,3528.00,3708.00,3741.00,3777.00,3777.00,3777.00,3777.00
CA026,1980.00,1980.00,1980.00,1980.00,2094.00,2256.00,2271.00,2280.00,2298.00,2268.00,2277.00,2289.00,2310.00,2370.00,2274.00,2283.00,2319.00,2118.00,2253.00,2286.00,2385.00,2472.00,2493.00,2514.00,2514.00,2514.00,2514.00
CA027,3132.00,3132.00,3132.00,3132.00,3234.00,3594.00,3615.00,3627.00,3741.00,3612.00,3621.00,3639.00,3780.00,3954.00,3618.00,3633.00,3804.00,3279.00,3591.00,3636.00,4014.00,4284.00,4323.00,4365.00,4365.00,4365.00,4365.00
CA028,1206.00,1206.00,1206.00,1206.00,1359.00,1491.00,1581.00,1683.00,1782.00,1503.00,1623.00,1746.00,1797.00,1860.00,1602.00,1728.00,1806.00,1380.00,1488.00,1743.00,1881.00,1977.00,1992.00,2010.00,2010.00,2010.00,2010.00
CA031,2130.00,2130.00,2130.00,2130.00,2370.00,2556.00,2571.00,2580.00,2592.00,2568.00,2577.00,2589.00,2595.00,2631.00,2574.00,2583.00,2598.00,2397.00,2553.00,2586.00,2640.00,2691.00,2715.00,2739.00,2739.00,2739.00,2739.00
CA032,975.00,975.00,975.00,975.00,1038.00,1224.00,1290.00,1368.00,1476.00,1236.00,1323.00,1416.00,1500.00,1605.00,1305.00,1401.00,1515.00,1065.00,1221.00,1410.00,1641.00,1803.00,1815.00,1833.00,1833.00,1833.00,1833.00
CA033,1998.00,1998.00,1998.00,1998.00,2115.00,2145.00,2184.00,2232.00,2322.00,2157.00,2205.00,2262.00,2349.00,2457.00,2193.00,2253.00,2364.00,2124.00,2142.00,2259.00,2493.00,2658.00,2682.00,2706.00,2706.00,2706.00,2706.00
